gene	GSM1483739	GSM1483740	128-cell-1	128-cell-2	1k-cell-1	1k-cell-2	1-cell-1	1-cell-2
ENSDARG00000089856	1.862279	0.0	12.151221	13.794884	9.056918	10.691131	9.140907	9.808307
ENSDARG00000089858	0.0	0.0	10.709155	35.33576	17.515537	29.231223	81.665744	85.046744
ENSDARG00000089860	0.0	0.0	25.132568	28.121028	22.546339	21.926563	11.263086	14.327719
ENSDARG00000089861	3.292585	16.517478	156.448226	165.548343	141.419022	151.183046	16.070448	17.078767
ENSDARG00000089862	8.087386	0.0	32.135174	36.696084	32.487302	29.31398	14.609839	15.327136
ENSDARG00000089868	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000089869	0.0	0.0	37.945908	33.751596	70.721394	56.973661	92.010953	74.87161
ENSDARG00000089871	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000089873	0.0	0.0	0.0	0.0	0.0	0.544946	0.0	0.0
ENSDARG00000089874	0.0	0.0	1.952659	0.994703	0.54278	1.328507	0.0	0.0
ENSDARG00000089875	0.0	0.0	0.0	0.583226	0.281961	0.286042	0.0	0.648473
ENSDARG00000089877	1.86551	0.0	26.502451	20.292735	44.103654	35.126407	6.278352	4.269575
ENSDARG00000089878	0.0	0.0	0.100131	0.116968	0.089325	0.0	0.0	0.0
ENSDARG00000089879	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000089883	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000089885	0.0	0.0	0.378249	0.420039	0.62711	0.79915	0.0	0.0
ENSDARG00000089886	0.0	6.64804	6.736673	9.838663	13.883877	12.258581	1.371942	1.068865
ENSDARG00000089887	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000089888	0.0	0.0	17.466289	17.917236	12.184519	13.753294	7.450705	9.336111
ENSDARG00000089889	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000089891	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000089892	0.0	0.0	0.0	0.0	0.0	0.19786	0.0	0.0
